Time,Log
2019/02/14 15:36:58,自動発注処理を開始します
2019/02/14 15:36:58,[1/9]:閾値読込
2019/02/14 15:36:58,読み込み完了しました。
2019/02/14 15:36:58,閾値一覧
2019/02/14 15:36:58,閾値1:15/1  
2019/02/14 15:36:58,閾値2:10/1  
2019/02/14 15:36:58,閾値3:10/1  
2019/02/14 15:36:58,閾値4:9/1  
2019/02/14 15:36:58,閾値5:8/1  
2019/02/14 15:36:58,閾値6:7/1  
2019/02/14 15:36:58,[2/9]:自動発注商品絞り込みを開始します
2019/02/14 15:36:58,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/14 15:36:58,-商品ID-                     -在庫数-
2019/02/14 15:36:59,97840410262291920193005608 / 0
2019/02/14 15:36:59,97840486941241920093016001 / 3
2019/02/14 15:36:59,97840489328371920193006506 / 0
2019/02/14 15:36:59,97843444273031920193007305 / 6
2019/02/14 15:36:59,97846456722565477845015644 / 2
2019/02/14 15:36:59,計5件ヒットしました
2019/02/14 15:36:59,[3/9]発注リストに追加します。
2019/02/14 15:36:59,発注ID[20190214001]:エラー
2019/02/14 15:36:59,発注ID[20190214002]:エラー
2019/02/14 15:36:59,発注ID[20190214003]:エラー
2019/02/14 15:36:59,発注ID[20190214004]:エラー
2019/02/14 15:37:00,発注ID[20190214005]:エラー
2019/02/14 15:37:00,[4/9]:発注明細リストに追加します。
2019/02/14 15:37:00,発注ID[20190214001]:エラー
2019/02/14 15:37:00,発注ID[20190214002]:エラー
2019/02/14 15:37:00,発注ID[20190214003]:エラー
2019/02/14 15:37:01,発注ID[20190214004]:エラー
2019/02/14 15:37:01,発注ID[20190214005]:エラー
2019/02/14 15:37:01,[5/9]:入庫確定リストに入庫予定を追加します。
2019/02/14 15:37:01,商品ID[97840410262291920193005608]:エラー
2019/02/14 15:37:02,商品ID[97840486941241920093016001]:エラー
2019/02/14 15:37:02,商品ID[97840489328371920193006506]:エラー
2019/02/14 15:37:02,商品ID[97843444273031920193007305]:エラー
2019/02/14 15:37:02,商品ID[97846456722565477845015644]:エラー
2019/02/14 15:37:03,[6/9]:(ランクイン商品)自動発注商品絞り込みを開始します
2019/02/14 15:37:03,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/14 15:37:03,-商品ID-                    -在庫数-
2019/02/14 15:37:03,97840489328371920193006506 / 12
2019/02/14 15:37:03,計1件ヒットしました
2019/02/14 15:37:03,[7/9]:(ランクイン商品)発注リストに追加します。
2019/02/14 15:37:03,発注ID[20190214007]:エラー
2019/02/14 15:37:03,[8/9]:(ランクイン商品)発注明細リストに追加します。
2019/02/14 15:37:04,発注ID[20190214007]:エラー
2019/02/14 15:37:04,[9/9]:(ランクイン商品)入庫確定リストに入庫予定を追加します。
2019/02/14 15:37:04,商品ID[97840410262291920193005608]:エラー
2019/02/14 15:37:04,自動発注処理が完了しました。
