Time,Log
2019/02/14 16:13:07,自動発注処理を開始します
2019/02/14 16:13:07,[1/9]:閾値読込
2019/02/14 16:13:07,読み込み完了しました。
2019/02/14 16:13:07,閾値一覧
2019/02/14 16:13:07,閾値1:15/1  
2019/02/14 16:13:07,閾値2:10/1  
2019/02/14 16:13:07,閾値3:10/1  
2019/02/14 16:13:07,閾値4:9/1  
2019/02/14 16:13:07,閾値5:8/1  
2019/02/14 16:13:07,閾値6:7/1  
2019/02/14 16:13:07,[2/9]:自動発注商品絞り込みを開始します
2019/02/14 16:13:07,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/14 16:13:07,-商品ID-                     -在庫数-
2019/02/14 16:13:08,97840486941241920093016001 / 3
2019/02/14 16:13:08,97840489328371920193006506 / 0
2019/02/14 16:13:08,97843444273031920193007305 / 6
2019/02/14 16:13:08,97846456722565477845015644 / 2
2019/02/14 16:13:08,計4件ヒットしました
2019/02/14 16:13:08,[3/9]発注リストに追加します。
2019/02/14 16:13:08,発注ID[20190214001]:完了
2019/02/14 16:13:08,発注ID[20190214002]:完了
2019/02/14 16:13:08,発注ID[20190214003]:完了
2019/02/14 16:13:08,発注ID[20190214004]:完了
2019/02/14 16:13:09,[4/9]:発注明細リストに追加します。
2019/02/14 16:13:09,発注ID[20190214001]:完了
2019/02/14 16:13:09,発注ID[20190214002]:完了
2019/02/14 16:13:09,発注ID[20190214003]:完了
2019/02/14 16:13:10,発注ID[20190214004]:完了
2019/02/14 16:13:10,[5/9]:入庫確定リストに入庫予定を追加します。
2019/02/14 16:13:10,商品ID[97840486941241920093016001]:完了
2019/02/14 16:13:10,商品ID[97840489328371920193006506]:完了
2019/02/14 16:13:11,商品ID[97843444273031920193007305]:完了
2019/02/14 16:13:11,商品ID[97846456722565477845015644]:完了
2019/02/14 16:13:11,[6/9]:(ランクイン商品)自動発注商品絞り込みを開始します
2019/02/14 16:13:11,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/14 16:13:11,-商品ID-                    -在庫数-
2019/02/14 16:13:12,97840489328371920193006506 / 12
2019/02/14 16:13:12,計1件ヒットしました
2019/02/14 16:13:12,[7/9]:(ランクイン商品)発注リストに追加します。
2019/02/14 16:13:12,発注ID[20190214006]:完了
2019/02/14 16:13:12,[8/9]:(ランクイン商品)発注明細リストに追加します。
2019/02/14 16:13:12,発注ID[20190214006]:完了
2019/02/14 16:13:12,[9/9]:(ランクイン商品)入庫確定リストに入庫予定を追加します。
2019/02/14 16:13:12,商品ID[97840486941241920093016001]:完了
2019/02/14 16:13:13,自動発注処理が完了しました。
