Time,Log
2019/02/15 00:28:52,自動発注処理を開始します
2019/02/15 00:28:52,[1/9]:閾値読込
2019/02/15 00:28:52,読み込み完了しました。
2019/02/15 00:28:52,閾値一覧
2019/02/15 00:28:52,閾値1:15/1  
2019/02/15 00:28:52,閾値2:10/1  
2019/02/15 00:28:52,閾値3:10/1  
2019/02/15 00:28:52,閾値4:9/1  
2019/02/15 00:28:52,閾値5:8/1  
2019/02/15 00:28:52,閾値6:7/1  
2019/02/15 00:28:52,[2/9]:自動発注商品絞り込みを開始します
2019/02/15 00:28:52,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/15 00:28:52,-商品ID-                     -在庫数-
2019/02/15 00:28:52,97840486941241920093016001 / 3
2019/02/15 00:28:52,97840489328371920193006506 / 0
2019/02/15 00:28:52,97843444273031920193007305 / 6
2019/02/15 00:28:52,97846456722565477845015644 / 2
2019/02/15 00:28:53,計4件ヒットしました
2019/02/15 00:28:53,[3/9]発注リストに追加します。
2019/02/15 00:28:53,発注ID[20190215001]:完了
2019/02/15 00:28:53,発注ID[20190215002]:完了
2019/02/15 00:28:53,発注ID[20190215003]:完了
2019/02/15 00:28:53,発注ID[20190215004]:完了
2019/02/15 00:28:53,[4/9]:発注明細リストに追加します。
2019/02/15 00:28:53,発注ID[20190215001]:完了
2019/02/15 00:28:54,発注ID[20190215002]:完了
2019/02/15 00:28:54,発注ID[20190215003]:完了
2019/02/15 00:28:54,発注ID[20190215004]:完了
2019/02/15 00:28:54,[5/9]:入庫確定リストに入庫予定を追加します。
2019/02/15 00:28:54,商品ID[97840486941241920093016001]:完了
2019/02/15 00:28:55,商品ID[97840489328371920193006506]:完了
2019/02/15 00:28:55,商品ID[97843444273031920193007305]:完了
2019/02/15 00:28:55,商品ID[97846456722565477845015644]:完了
2019/02/15 00:28:55,[6/9]:(ランクイン商品)自動発注商品絞り込みを開始します
2019/02/15 00:28:55,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/15 00:28:55,-商品ID-                    -在庫数-
2019/02/15 00:28:56,97840489328371920193006506 / 12
2019/02/15 00:28:56,計1件ヒットしました
2019/02/15 00:28:56,[7/9]:(ランクイン商品)発注リストに追加します。
2019/02/15 00:28:56,発注ID[20190215006]:完了
2019/02/15 00:28:56,[8/9]:(ランクイン商品)発注明細リストに追加します。
2019/02/15 00:28:56,発注ID[20190215006]:完了
2019/02/15 00:28:56,[9/9]:(ランクイン商品)入庫確定リストに入庫予定を追加します。
2019/02/15 00:28:56,商品ID[97840486941241920093016001]:完了
2019/02/15 00:28:57,自動発注処理が完了しました。
