Time,Log
2019/02/15 00:29:13,自動発注処理を開始します
2019/02/15 00:29:13,[1/9]:閾値読込
2019/02/15 00:29:14,読み込み完了しました。
2019/02/15 00:29:14,閾値一覧
2019/02/15 00:29:14,閾値1:15/1  
2019/02/15 00:29:14,閾値2:10/1  
2019/02/15 00:29:14,閾値3:10/1  
2019/02/15 00:29:14,閾値4:9/1  
2019/02/15 00:29:14,閾値5:8/1  
2019/02/15 00:29:14,閾値6:7/1  
2019/02/15 00:29:14,[2/9]:自動発注商品絞り込みを開始します
2019/02/15 00:29:14,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/15 00:29:14,-商品ID-                     -在庫数-
2019/02/15 00:29:14,97840486941241920093016001 / 3
2019/02/15 00:29:14,97840489328371920193006506 / 0
2019/02/15 00:29:14,97843444273031920193007305 / 6
2019/02/15 00:29:14,97846456722565477845015644 / 2
2019/02/15 00:29:14,計4件ヒットしました
2019/02/15 00:29:14,[3/9]発注リストに追加します。
2019/02/15 00:29:14,発注ID[20190215001]:エラー
2019/02/15 00:29:14,発注ID[20190215002]:エラー
2019/02/15 00:29:15,発注ID[20190215003]:エラー
2019/02/15 00:29:15,発注ID[20190215004]:エラー
2019/02/15 00:29:15,[4/9]:発注明細リストに追加します。
2019/02/15 00:29:15,発注ID[20190215001]:エラー
2019/02/15 00:29:15,発注ID[20190215002]:エラー
2019/02/15 00:29:16,発注ID[20190215003]:エラー
2019/02/15 00:29:16,発注ID[20190215004]:エラー
2019/02/15 00:29:16,[5/9]:入庫確定リストに入庫予定を追加します。
2019/02/15 00:29:16,商品ID[97840486941241920093016001]:エラー
2019/02/15 00:29:16,商品ID[97840489328371920193006506]:エラー
2019/02/15 00:29:17,商品ID[97843444273031920193007305]:エラー
2019/02/15 00:29:17,商品ID[97846456722565477845015644]:エラー
2019/02/15 00:29:17,[6/9]:(ランクイン商品)自動発注商品絞り込みを開始します
2019/02/15 00:29:17,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/15 00:29:17,-商品ID-                    -在庫数-
2019/02/15 00:29:17,97840489328371920193006506 / 12
2019/02/15 00:29:17,計1件ヒットしました
2019/02/15 00:29:17,[7/9]:(ランクイン商品)発注リストに追加します。
2019/02/15 00:29:18,発注ID[20190215006]:エラー
2019/02/15 00:29:18,[8/9]:(ランクイン商品)発注明細リストに追加します。
2019/02/15 00:29:18,発注ID[20190215006]:エラー
2019/02/15 00:29:18,[9/9]:(ランクイン商品)入庫確定リストに入庫予定を追加します。
2019/02/15 00:29:18,商品ID[97840486941241920093016001]:エラー
2019/02/15 00:29:18,自動発注処理が完了しました。
