Time,Log
2019/02/14 13:37:22,自動発注処理を開始します
2019/02/14 13:37:22,[1/9]:閾値読込
2019/02/14 13:37:22,読み込み完了しました。
2019/02/14 13:37:23,閾値一覧
2019/02/14 13:37:23,閾値1:15/1  
2019/02/14 13:37:23,閾値2:10/1  
2019/02/14 13:37:23,閾値3:10/1  
2019/02/14 13:37:23,閾値4:9/1  
2019/02/14 13:37:23,閾値5:8/1  
2019/02/14 13:37:23,閾値6:7/1  
2019/02/14 13:37:23,[2/9]:自動発注商品絞り込みを開始します
2019/02/14 13:37:23,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/14 13:37:23,-商品ID-                     -在庫数-
2019/02/14 13:37:23,97840410262291920193005608 / 0
2019/02/14 13:37:23,97840486941241920093016001 / 3
2019/02/14 13:37:23,97843444273031920193007305 / 6
2019/02/14 13:37:23,97846456722565477845015644 / 2
2019/02/14 13:37:23,計4件ヒットしました
2019/02/14 13:37:23,[3/9]発注リストに追加します。
2019/02/14 13:37:23,発注ID[20190214001]:エラー
2019/02/14 13:37:23,発注ID[20190214002]:エラー
2019/02/14 13:37:24,発注ID[20190214003]:エラー
2019/02/14 13:37:24,発注ID[20190214004]:エラー
2019/02/14 13:37:24,[4/9]:発注明細リストに追加します。
2019/02/14 13:37:24,発注ID[20190214001]:エラー
2019/02/14 13:37:24,発注ID[20190214002]:エラー
2019/02/14 13:37:25,発注ID[20190214003]:エラー
2019/02/14 13:37:25,発注ID[20190214004]:エラー
2019/02/14 13:37:25,[5/9]:入庫確定リストに入庫予定を追加します。
2019/02/14 13:37:25,商品ID[97840410262291920193005608]:エラー
2019/02/14 13:37:25,商品ID[97840486941241920093016001]:エラー
2019/02/14 13:37:26,商品ID[97843444273031920193007305]:エラー
2019/02/14 13:37:26,商品ID[97846456722565477845015644]:エラー
2019/02/14 13:37:26,[6/9]:(ランクイン商品)自動発注商品絞り込みを開始します
2019/02/14 13:37:26,在庫数がランキング外の閾値を下回っている商品を絞り込みます
2019/02/14 13:37:26,-商品ID-                    -在庫数-
2019/02/14 13:37:27,97840410262291920193005608 / 8
2019/02/14 13:37:27,計1件ヒットしました
2019/02/14 13:37:27,[7/9]:(ランクイン商品)発注リストに追加します。
2019/02/14 13:37:27,発注ID[20190214006]:エラー
2019/02/14 13:37:27,[8/9]:(ランクイン商品)発注明細リストに追加します。
2019/02/14 13:37:27,発注ID[20190214006]:エラー
2019/02/14 13:37:27,[9/9]:(ランクイン商品)入庫確定リストに入庫予定を追加します。
2019/02/14 13:37:28,商品ID[97840410262291920193005608]:エラー
2019/02/14 13:37:28,自動発注処理が完了しました。
